,,,,,,,,,latlong,Career Impact,Poverty Impact
41.8312,-88.25223,Innovation Center,Innovation Center,Fermi National Accelerator Laboratory,http://www.fnal.gov/,Wilson and Kirk Roads, DuPage County," Illinois""",41.8312-88.25223,0.093207298,0.105517696
41.8310932,-87.6280182,Innovation Center,Innovation Center,Wanger Institute for Sustainable Energy Research (WISER),www.iit.edu/wiser,10 W. 35th Street, Cook County," Illinois""",41.8310932-87.6280182,0.088970343,0.104298567
41.773019,-87.817757,Innovation Center,Innovation Center,Institute for Food Safety and Health,www.iit.edu/ifsh,6502 South Archer Road, Cook County," Illinois""",41.773019-87.817757,0.253825093,0.138508617
42.0569182,-87.6767029,Innovation Center,Innovation Center,Farley Center for Entrepreneurship and Innovation,http://www.fcei.northwestern.edu/,Ford Motor Company Engineering Center , Cook County," Illinois""",42.0569182-87.6767029,0.004427129,0.059677705
42.0577785,-87.6733929,Innovation Center,Innovation Center,Northwestern University Atomic and Nanoscale Characterization Experimental Center,http://www.nuance.northwestern.edu/,2220 Campus Dr, Cook County," Illinois""",42.0577785-87.6733929,0.004427129,0.059677705
42.0577785,-87.6733929,Innovation Center,Innovation Center,Keck Interdiscplinary Surface Science Center,http://www.nuance.northwestern.edu/KeckII/index.html,2220 Campus Drive, Cook County," Illinois""",42.0577785-87.6733929,0.004427129,0.059677705
42.057841,-87.676976,Innovation Center,Innovation Center,Micro/Nano Fabrication Facility (NUFAB),http://nufab.northwestern.edu/,EG20-NG32 Technological Institute , Cook County," Illinois""",42.057841-87.676976,0.004427129,0.059677705
41.8956469,-87.6201074,Innovation Center,Innovation Center,Institute for BioNanotechnology in Medicine,http://www.ibnam.northwestern.edu/,303 E. Superior, Cook County," Illinois""",41.8956469-87.6201074,0.058050847,0.135169492
42.0562294,-87.6734659,Innovation Center,Innovation Center,Center for Molecular Innovation and Drug Discovery,http://www.cmidd.northwestern.edu/,2170 Campus Dr., Cook County," Illinois""",42.0562294-87.6734659,0.004427129,0.059677705
42.0562294,-87.6734659,Innovation Center,Innovation Center,Chemistry of Life Processes Institute,http://www.clp.northwestern.edu/,2170 Campus Dr., Cook County," Illinois""",42.0562294-87.6734659,0.004427129,0.059677705
41.7893998,-87.5963929,Innovation Center,Innovation Center,Polsky Center for Entrepreneurship and Innovation,www.chicagobooth.edu/entrepreneurship,Polsky Center for Entrepreneurship at The U of C Booth School of Business, Cook County," Illinois""",41.7893998-87.5963929,0.06576087,0.195108696
41.7893998,-87.5963929,Innovation Center,Innovation Center,Exploring Entrepreneurship Conference Series,http://www.chicagobooth.edu/entrepreneurship/conferences/other.aspx,Polsky Center for Entrepreneurship at The U of C Booth School of Business, Cook County," Illinois""",41.7893998-87.5963929,0.06576087,0.195108696
41.7893998,-87.5963929,Innovation Center,Innovation Center,New Venture Challenge,http://research.chicagobooth.edu/nvc/,Polsky Center for Entrepreneurship at The U of C Booth School of Business, Cook County," Illinois""",41.7893998-87.5963929,0.06576087,0.195108696
40.1149215,-88.2248604,Innovation Center,Innovation Center,National Center for Supercomputing Applications,http://www.ncsa.illinois.edu/,1205 W. Clark St., Champaign County," Illinois""",40.1149215-88.2248604,0.027385892,0.483817427
40.090471,-88.223691,Innovation Center,Innovation Center,Illinois Simulator Laboratory,http://www.isl.beckman.illinois.edu/,2100 South Goodwin Avenue, Champaign County," Illinois""",40.090471-88.223691,0.007067138,0.157651536
40.1156835,-88.2267598,Innovation Center,Innovation Center,Biomedical Imaging Center,http://bic.beckman.illinois.edu,405 N. Mathews Ave, Champaign County," Illinois""",40.1156835-88.2267598,0.027385892,0.483817427
40.1156835,-88.2267598,Innovation Center,Innovation Center,ITG Visualization Laboratory,https://itg.beckman.illinois.edu/visualization_laboratory/,405 N. Mathews Ave, Champaign County," Illinois""",40.1156835-88.2267598,0.027385892,0.483817427
